image,score
0.37277305,s34_7
0.32509392,s34_6
0.3826496,s34_4
0.3978189,s34_5
0.30236012,s34_1
0.27772942,s34_2
0.3101809,s34_3
0.30576503,s34_8
0.3368989,s34_9
0.32317472,s34_10
0.38409477,s33_7
0.36633125,s33_6
0.33564404,s33_4
0.38848105,s33_5
0.37647492,s33_1
0.29878345,s33_2
0.31883442,s33_3
0.36412925,s33_8
0.38672367,s33_9
0.2787367,s33_10
0.4089272,s5_7
0.335253,s5_6
0.37778282,s5_4
0.4011352,s5_5
0.4107983,s5_1
0.4177488,s5_2
0.38503462,s5_3
0.31625035,s5_8
0.37193692,s5_9
0.34379056,s5_10
0.24760094,s2_7
0.22664285,s2_6
0.19781357,s2_4
0.13660598,s2_5
0.14832488,s2_1
0.23050565,s2_2
0.25033206,s2_3
0.2211928,s2_8
0.20443064,s2_9
0.20794567,s2_10
0.24657029,s32_7
0.17260498,s32_6
0.19880503,s32_4
0.17622402,s32_5
0.18702257,s32_1
0.205455,s32_2
0.20714006,s32_3
0.18409595,s32_8
0.2635731,s32_9
0.17987621,s32_10
0.30094272,s35_7
0.328929,s35_6
0.27236897,s35_4
0.26325962,s35_5
0.2717528,s35_1
0.22766942,s35_2
0.24079213,s35_3
0.34313512,s35_8
0.24923086,s35_9
0.24314806,s35_10
0.25230578,s3_7
0.2496438,s3_6
0.24331757,s3_4
0.21467614,s3_5
0.2556925,s3_1
0.23524562,s3_2
0.3278037,s3_3
0.30208194,s3_8
0.3455451,s3_9
0.32747304,s3_10
0.32538724,s4_7
0.27828884,s4_6
0.28273067,s4_4
0.29633358,s4_5
0.27646548,s4_1
0.3110962,s4_2
0.3273983,s4_3
0.31629395,s4_8
0.28554147,s4_9
0.31868798,s4_10
0.41952062,s26_7
0.26645723,s26_6
0.43349987,s26_4
0.39272168,s26_5
0.40959087,s26_1
0.4179655,s26_2
0.22277501,s26_3
0.3776663,s26_8
0.4490201,s26_9
0.33443022,s26_10
0.36601266,s19_7
0.18371895,s19_6
0.33429086,s19_4
0.30434218,s19_5
0.21215865,s19_1
0.18511659,s19_2
0.25766012,s19_3
0.35433206,s19_8
0.3548878,s19_9
0.2321268,s19_10
0.41139567,s21_7
0.38653803,s21_6
0.35242176,s21_4
0.37076902,s21_5
0.37470382,s21_1
0.40360737,s21_2
0.4165421,s21_3
0.33484566,s21_8
0.28658986,s21_9
0.35058,s21_10
0.35935977,s17_7
0.38544425,s17_6
0.2723421,s17_4
0.37988058,s17_5
0.3954566,s17_1
0.37320665,s17_2
0.2735471,s17_3
0.3754753,s17_8
0.40754908,s17_9
0.3165716,s17_10
0.34500584,s28_7
0.42874187,s28_6
0.4008181,s28_4
0.37604982,s28_5
